"school","gender","decision"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","M","No"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","Yes"
"A","W","No"
"A","W","No"
"A","W","No"
"A","W","No"
"A","W","No"
"A","W","No"
"A","W","No"
"A","W","No"
"A","W","No"
"A","W","No"
"A","W","No"
"A","W","No"
"A","W","No"
"A","W","No"
"A","W","No"
"A","W","No"
"A","W","No"
"A","W","No"
"A","W","No"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","Yes"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","M","No"
"B","W","Yes"
"B","W","Yes"
"B","W","Yes"
"B","W","Yes"
"B","W","Yes"
"B","W","Yes"
"B","W","Yes"
"B","W","Yes"
"B","W","Yes"
"B","W","Yes"
"B","W","Yes"
"B","W","Yes"
"B","W","Yes"
"B","W","Yes"
